strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
OPTIMIZER,341,,73,0,0,17,0,false,false
OPTIMIZER,289,,61,0,0,17,0,false,false
OPTIMIZER,287,,73,0,0,17,0,false,false
OPTIMIZER,283,,62,0,0,17,0,false,false
OPTIMIZER,294,,72,0,0,17,0,false,false
OPTIMIZER,256,,73,0,0,17,0,false,false
OPTIMIZER,273,,67,0,0,17,0,false,false
OPTIMIZER,284,,77,0,0,17,0,false,false
OPTIMIZER,263,,66,0,0,17,0,false,false
OPTIMIZER,263,,75,0,0,17,0,false,false
OPTIMIZER,276,,68,0,0,17,0,false,false
OPTIMIZER,289,,68,0,0,17,0,false,false
OPTIMIZER,279,,64,0,0,17,0,false,false
OPTIMIZER,316,,62,0,0,17,0,false,false
OPTIMIZER,270,,65,0,0,17,0,false,false
OPTIMIZER,270,,69,0,0,17,0,false,false
OPTIMIZER,240,,69,0,0,17,0,false,false
OPTIMIZER,318,,75,0,0,17,0,false,false
OPTIMIZER,295,,73,0,0,17,0,false,false
OPTIMIZER,303,,73,0,0,17,0,false,false
OPTIMIZER,286,,64,0,0,17,0,false,false
OPTIMIZER,239,,62,0,0,17,0,false,false
OPTIMIZER,264,,74,0,0,17,0,false,false
OPTIMIZER,272,,63,0,0,17,0,false,false
OPTIMIZER,296,,67,0,0,17,0,false,false
OPTIMIZER,248,,75,0,0,17,0,false,false
OPTIMIZER,260,,76,0,0,17,0,false,false
OPTIMIZER,255,,64,0,0,17,0,false,false
OPTIMIZER,256,,72,0,0,17,0,false,false
OPTIMIZER,270,,63,0,0,17,0,false,false
OPTIMIZER,292,,70,0,0,17,0,false,false
OPTIMIZER,260,,69,0,0,17,0,false,false
OPTIMIZER,268,,66,0,0,17,0,false,false
OPTIMIZER,278,,68,0,0,17,0,false,false
OPTIMIZER,278,,70,0,0,17,0,false,false
OPTIMIZER,285,,68,0,0,17,0,false,false
OPTIMIZER,288,,72,0,0,17,0,false,false
OPTIMIZER,305,,65,0,0,17,0,false,false
OPTIMIZER,295,,65,0,0,17,0,false,false
OPTIMIZER,275,,74,0,0,17,0,false,false
OPTIMIZER,317,,67,0,0,17,0,false,false
OPTIMIZER,283,,67,0,0,17,0,false,false
OPTIMIZER,259,,70,0,0,17,0,false,false
OPTIMIZER,304,,77,0,0,17,0,false,false
OPTIMIZER,316,,69,0,0,17,0,false,false
OPTIMIZER,311,,70,0,0,17,0,false,false
OPTIMIZER,279,,71,0,0,17,0,false,false
OPTIMIZER,255,,69,0,0,17,0,false,false
OPTIMIZER,272,,68,0,0,17,0,false,false
OPTIMIZER,298,,76,0,0,17,0,false,false
OPTIMIZER,278,,71,0,0,17,0,false,false
OPTIMIZER,309,,71,0,0,17,0,false,false
OPTIMIZER,328,,75,0,0,17,0,false,false
OPTIMIZER,266,,69,0,0,17,0,false,false
OPTIMIZER,272,,73,0,0,17,0,false,false
OPTIMIZER,300,,64,0,0,17,0,false,false
OPTIMIZER,321,,74,0,0,17,0,false,false
OPTIMIZER,305,,73,0,0,17,0,false,false
OPTIMIZER,288,,65,0,0,17,0,false,false
OPTIMIZER,254,,75,0,0,17,0,false,false
OPTIMIZER,255,,77,0,0,17,0,false,false
OPTIMIZER,313,,64,0,0,17,0,false,false
OPTIMIZER,330,,68,0,0,17,0,false,false
OPTIMIZER,292,,62,0,0,17,0,false,false
OPTIMIZER,299,,75,0,0,17,0,false,false
OPTIMIZER,292,,61,0,0,17,0,false,false
OPTIMIZER,300,,62,0,0,17,0,false,false
OPTIMIZER,320,,71,0,0,17,0,false,false
OPTIMIZER,258,,72,0,0,17,0,false,false
OPTIMIZER,254,,71,0,0,17,0,false,false
OPTIMIZER,291,,74,0,0,17,0,false,false
OPTIMIZER,293,,65,0,0,17,0,false,false
OPTIMIZER,291,,72,0,0,17,0,false,false
OPTIMIZER,294,,63,0,0,17,0,false,false
OPTIMIZER,316,,71,0,0,17,0,false,false
OPTIMIZER,318,,73,0,0,17,0,false,false
OPTIMIZER,291,,68,0,0,17,0,false,false
OPTIMIZER,248,,68,0,0,17,0,false,false
OPTIMIZER,319,,73,0,0,17,0,false,false
OPTIMIZER,301,,75,0,0,17,0,false,false
OPTIMIZER,278,,74,0,0,17,0,false,false
OPTIMIZER,278,,70,0,0,17,0,false,false
OPTIMIZER,272,,74,0,0,17,0,false,false
OPTIMIZER,306,,70,0,0,17,0,false,false
OPTIMIZER,300,,66,0,0,17,0,false,false
OPTIMIZER,309,,73,0,0,17,0,false,false
OPTIMIZER,278,,68,0,0,17,0,false,false
OPTIMIZER,279,,71,0,0,17,0,false,false
OPTIMIZER,308,,66,0,0,17,0,false,false
OPTIMIZER,269,,74,0,0,17,0,false,false
OPTIMIZER,275,,67,0,0,17,0,false,false
OPTIMIZER,265,,69,0,0,17,0,false,false
OPTIMIZER,254,,75,0,0,17,0,false,false
OPTIMIZER,275,,62,0,0,17,0,false,false
OPTIMIZER,309,,66,0,0,17,0,false,false
OPTIMIZER,267,,76,0,0,17,0,false,false
OPTIMIZER,271,,72,0,0,17,0,false,false
OPTIMIZER,303,,70,0,0,17,0,false,false
OPTIMIZER,307,,76,0,0,17,0,false,false
OPTIMIZER,266,,77,0,0,17,0,false,false
OPTIMIZER,251,,77,0,0,17,0,false,false
OPTIMIZER,257,,62,0,0,17,0,false,false
OPTIMIZER,311,,71,0,0,17,0,false,false
OPTIMIZER,280,,65,0,0,17,0,false,false
OPTIMIZER,308,,69,0,0,17,0,false,false
OPTIMIZER,251,,66,0,0,17,0,false,false
OPTIMIZER,267,,74,0,0,17,0,false,false
OPTIMIZER,255,,76,0,0,17,0,false,false
OPTIMIZER,289,,77,0,0,17,0,false,false
OPTIMIZER,301,,70,0,0,17,0,false,false
OPTIMIZER,294,,69,0,0,17,0,false,false
OPTIMIZER,328,,77,0,0,17,0,false,false
OPTIMIZER,297,,76,0,0,17,0,false,false
OPTIMIZER,266,,63,0,0,17,0,false,false
OPTIMIZER,302,,68,0,0,17,0,false,false
OPTIMIZER,285,,77,0,0,17,0,false,false
OPTIMIZER,295,,75,0,0,17,0,false,false
OPTIMIZER,272,,77,0,0,17,0,false,false
OPTIMIZER,282,,64,0,0,17,0,false,false
OPTIMIZER,339,,64,0,0,17,0,false,false
OPTIMIZER,259,,70,0,0,17,0,false,false
OPTIMIZER,289,,76,0,0,17,0,false,false
OPTIMIZER,265,,76,0,0,17,0,false,false
OPTIMIZER,285,,69,0,0,17,0,false,false
OPTIMIZER,328,,74,0,0,17,0,false,false
OPTIMIZER,292,,74,0,0,17,0,false,false
OPTIMIZER,266,,75,0,0,17,0,false,false
OPTIMIZER,295,,63,0,0,17,0,false,false
OPTIMIZER,251,,75,0,0,17,0,false,false
OPTIMIZER,245,,62,0,0,17,0,false,false
OPTIMIZER,289,,72,0,0,17,0,false,false
OPTIMIZER,293,,77,0,0,17,0,false,false
OPTIMIZER,260,,66,0,0,17,0,false,false
OPTIMIZER,255,,66,0,0,17,0,false,false
OPTIMIZER,335,,70,0,0,17,0,false,false
OPTIMIZER,256,,72,0,0,17,0,false,false
OPTIMIZER,314,,69,0,0,17,0,false,false
OPTIMIZER,258,,71,0,0,17,0,false,false
OPTIMIZER,266,,66,0,0,17,0,false,false
OPTIMIZER,280,,63,0,0,17,0,false,false
OPTIMIZER,282,,66,0,0,17,0,false,false
OPTIMIZER,240,,75,0,0,17,0,false,false
OPTIMIZER,266,,74,0,0,17,0,false,false
OPTIMIZER,290,,73,0,0,17,0,false,false
OPTIMIZER,288,,70,0,0,17,0,false,false
OPTIMIZER,286,,72,0,0,17,0,false,false
OPTIMIZER,245,,70,0,0,17,0,false,false
OPTIMIZER,302,,65,0,0,17,0,false,false
OPTIMIZER,285,,77,0,0,17,0,false,false
OPTIMIZER,309,,72,0,0,17,0,false,false
OPTIMIZER,294,,66,0,0,17,0,false,false
OPTIMIZER,302,,63,0,0,17,0,false,false
OPTIMIZER,270,,64,0,0,17,0,false,false
OPTIMIZER,299,,76,0,0,17,0,false,false
OPTIMIZER,295,,70,0,0,17,0,false,false
OPTIMIZER,307,,67,0,0,17,0,false,false
OPTIMIZER,298,,75,0,0,17,0,false,false
OPTIMIZER,289,,73,0,0,17,0,false,false
OPTIMIZER,257,,64,0,0,17,0,false,false
OPTIMIZER,238,,64,0,0,17,0,false,false
OPTIMIZER,265,,63,0,0,17,0,false,false
OPTIMIZER,270,,71,0,0,17,0,false,false
OPTIMIZER,289,,71,0,0,17,0,false,false
OPTIMIZER,288,,71,0,0,17,0,false,false
OPTIMIZER,322,,70,0,0,17,0,false,false
OPTIMIZER,284,,62,0,0,17,0,false,false
OPTIMIZER,284,,67,0,0,17,0,false,false
OPTIMIZER,295,,64,0,0,17,0,false,false
OPTIMIZER,289,,72,0,0,17,0,false,false
OPTIMIZER,307,,74,0,0,17,0,false,false
OPTIMIZER,304,,68,0,0,17,0,false,false
OPTIMIZER,280,,75,0,0,17,0,false,false
OPTIMIZER,308,,71,0,0,17,0,false,false
OPTIMIZER,301,,77,0,0,17,0,false,false
OPTIMIZER,283,,73,0,0,17,0,false,false
OPTIMIZER,297,,74,0,0,17,0,false,false
OPTIMIZER,297,,61,0,0,17,0,false,false
OPTIMIZER,288,,71,0,0,17,0,false,false
OPTIMIZER,332,,66,0,0,17,0,false,false
OPTIMIZER,296,,65,0,0,17,0,false,false
OPTIMIZER,268,,65,0,0,17,0,false,false
OPTIMIZER,265,,66,0,0,17,0,false,false
OPTIMIZER,261,,76,0,0,17,0,false,false
OPTIMIZER,297,,75,0,0,17,0,false,false
OPTIMIZER,287,,65,0,0,17,0,false,false
OPTIMIZER,258,,71,0,0,17,0,false,false
OPTIMIZER,283,,66,0,0,17,0,false,false
OPTIMIZER,266,,77,0,0,17,0,false,false
